Here is summarized precipitation for June, July and August and 10-year periods calculated for Sweden.
Calculations are based on stations in Sweden with daily precipitation observations.

Copyright SMHI 2022

File contains: 
Column 1: Year 
Column 2: Precipitation during summer in Sweden [mm]
Column 3: Running mean [mm]

Year;Precipitation during summer in Sweden;Running mean;
1880;148;204.8;
1881;216;206.3;
1882;246;206.4;
1883;251;205.1;
1884;185;202.6;
1885;216;199.9;
1886;158;197.7;
1887;163;196.9;
1888;182;197.6;
1889;212;199.6;
1890;243;202.2;
1891;199;204.8;
1892;202;206.9;
1893;179;208.3;
1894;216;208.7;
1895;256;207.9;
1896;213;205.8;
1897;185;202.7;
1898;253;199.4;
1899;128;196.8;
1900;180;195.5;
1901;155;195.9;
1902;232;197.4;
1903;248;199.4;
1904;166;201.1;
1905;216;202.3;
1906;164;202.6;
1907;266;202.2;
1908;183;201.1;
1909;204;199.6;
1910;201;197.8;
1911;136;196.0;
1912;267;194.2;
1913;205;192.9;
1914;130;192.2;
1915;195;192.6;
1916;209;194.3;
1917;174;197.4;
1918;185;201.4;
1919;216;205.8;
1920;214;209.8;
1921;240;212.7;
1922;229;214.5;
1923;216;215.1;
1924;218;215.2;
1925;190;215.3;
1926;170;215.4;
1927;262;215.4;
1928;249;214.7;
1929;202;213.0;
1930;214;210.3;
1931;228;207.0;
1932;170;203.8;
1933;188;201.3;
1934;205;199.9;
1935;189;199.7;
1936;218;200.4;
1937;164;201.8;
1938;219;203.5;
1939;222;205.0;
1940;203;206.3;
1941;229;207.1;
1942;169;207.7;
1943;217;207.7;
1944;196;207.1;
1945;255;205.8;
1946;230;204.0;
1947;150;202.2;
1948;205;201.1;
1949;175;201.1;
1950;191;202.3;
1951;212;204.1;
1952;209;205.9;
1953;250;207.2;
1954;251;208.0;
1955;92;208.8;
1956;235;210.0;
1957;250;211.9;
1958;214;214.6;
1959;112;217.5;
1960;300;219.6;
1961;263;220.0;
1962;223;218.0;
1963;222;213.3;
1964;205;206.6;
1965;208;198.4;
1966;186;190.1;
1967;179;182.5;
1968;153;176.6;
1969;135;172.7;
1970;170;170.6;
1971;176;169.9;
1972;184;170.1;
1973;168;171.0;
1974;210;172.8;
1975;122;175.9;
1976;114;180.6;
1977;206;186.1;
1978;212;191.6;
1979;233;195.8;
1980;231;198.3;
1981;238;199.3;
1982;160;200.2;
1983;105;202.1;
1984;199;205.5;
1985;256;210.1;
1986;205;214.8;
1987;281;218.4;
1988;238;220.3;
1989;179;220.6;
1990;205;219.6;
1991;234;217.7;
1992;216;215.4;
1993;293;213.2;
1994;148;211.9;
1995;173;212.4;
1996;189;215.0;
1997;174;219.6;
1998;312;225.1;
1999;207;230.4;
2000;281;234.4;
2001;237;237.0;
2002;216;238.3;
2003;227;239.0;
2004;264;239.5;
2005;261;240.6;
2006;185;242.2;
2007;240;244.4;
2008;253;246.5;
2009;273;247.7;
2010;256;247.1;
2011;276;244.3;
2012;269;239.4;
2013;200;232.8;
2014;224;225.6;
2015;208;218.6;
2016;211;212.5;
2017;225;207.8;
2018;159;204.6;
2019;187;202.8;
2020;203;202.3;
2021;227;202.8;
